STOPID,shape
6320,POINT (-122.4325 37.789987)
6362,POINT (-122.4021 37.72418)
4908,POINT (-122.45929 37.719953)
4584,POINT (-122.41851 37.72637)
3086,POINT (-122.436278 37.794056)
3558,POINT (-122.493388 37.779815)
6136,POINT (-122.468563 37.74887)
5036,POINT (-122.472954 37.721592)
6232,POINT (-122.437225 37.767162)
3281,POINT (-122.410294 37.765658)
7918,POINT (-122.39615 37.78992)
4549,POINT (-122.396714 37.748289)
3749,POINT (-122.40889 37.75111)
6274,POINT (-122.444699 37.723085)
7332,POINT (-122.413469 37.715032)
3345,POINT (-122.430682 37.761094)
6721,POINT (-122.414217 37.782835)
6155,POINT (-122.48905 37.748)
3230,POINT (-122.466502 37.752724)
3547,POINT (-122.492553 37.783429)
6736,POINT (-122.46847 37.741535)
5185,POINT (-122.41325 37.78686)
4430,POINT (-122.443514 37.802844)
5808,POINT (-122.464337 37.726029)
3580,POINT (-122.505749 37.756781)
6427,POINT (-122.450449 37.748925)
4587,POINT (-122.42028 37.72597)
5684,POINT (-122.40248 37.78849)
4071,POINT (-122.44396 37.74689)
5151,POINT (-122.418293 37.794605)
5748,POINT (-122.489453 37.753593)
4964,POINT (-122.407218 37.752826)
5318,POINT (-122.488267 37.765032)
4628,POINT (-122.431687 37.77854)
7383,POINT (-122.455759 37.802299)
4147,POINT (-122.409746 37.739791)
5097,POINT (-122.371871 37.729878)
3889,POINT (-122.420828 37.790492)
7957,POINT (-122.396672 37.775646)
6744,POINT (-122.466167 37.741009)
4808,POINT (-122.41827 37.707944)
5043,POINT (-122.383545 37.735958)
7856,POINT (-122.428104 37.801825)
6677,POINT (-122.452099 37.745079)
4838,POINT (-122.486404 37.729628)
7568,POINT (-122.443331 37.801907)
7951,POINT (-122.501853 37.728567)
5762,POINT (-122.505574 37.752891)
5836,POINT (-122.41917 37.77281)
6589,POINT (-122.439732 37.78531)
5983,POINT (-122.421731 37.796185)
4163,POINT (-122.442944 37.761648)
3222,POINT (-122.465884 37.756677)
4855,POINT (-122.46605 37.75839)
6719,POINT (-122.412577 37.783039)
3925,POINT (-122.507985 37.773287)
4207,POINT (-122.47594 37.7201)
5253,POINT (-122.463678 37.754893)
6141,POINT (-122.47622 37.74858)
3766,POINT (-122.433085 37.723958)
3557,POINT (-122.493227 37.779815)
6931,POINT (-122.432842 37.791716)
5066,POINT (-122.4197 37.80284)
5030,POINT (-122.40798 37.72507)
8058,POINT (-122.379556 37.731042)
5792,POINT (-122.471686 37.730952)
4329,POINT (-122.43383 37.7496)
4566,POINT (-122.41776 37.73281)
6730,POINT (-122.449923 37.778343)
4564,POINT (-122.382813 37.739717)
5552,POINT (-122.419737 37.764804)
6322,POINT (-122.45888 37.71149)
5627,POINT (-122.44834 37.71048)
5914,POINT (-122.428676 37.719728)
5978,POINT (-122.45614 37.71757)
5728,POINT (-122.435231 37.76262)
5951,POINT (-122.47191 37.77327)
5372,POINT (-122.411059 37.794504)
5466,POINT (-122.41424 37.80656)
5613,POINT (-122.42442 37.73591)
6184,POINT (-122.39504 37.73098)
4596,POINT (-122.41457 37.7274)
5685,POINT (-122.402163 37.788613)
3877,POINT (-122.415611 37.791285)
5013,POINT (-122.42019 37.777286)
6737,POINT (-122.4688 37.741435)
4846,POINT (-122.417415 37.783228)
4372,POINT (-122.43621 37.74965)
8061,POINT (-122.429351 37.769374)
3703,POINT (-122.426702 37.733719)
6369,POINT (-122.40054 37.71907)
3859,POINT (-122.440721 37.787954)
3941,POINT (-122.436245 37.800845)
4769,POINT (-122.431021 37.784641)
4367,POINT (-122.43751 37.74363)
6213,POINT (-122.428184 37.761192)
6160,POINT (-122.494399 37.747765)
4266,POINT (-122.479232 37.780319)
3913,POINT (-122.456512 37.764932)
3841,POINT (-122.488074 37.783798)
5012,POINT (-122.432476 37.775627)
5770,POINT (-122.41141 37.73992)
3663,POINT (-122.446072 37.765298)
4440,POINT (-122.369913 37.729002)
5867,POINT (-122.400547 37.739529)
5918,POINT (-122.434276 37.722406)
6459,POINT (-122.483944 37.734215)
6616,POINT (-122.475444 37.74311)
4771,POINT (-122.466151 37.770436)
5791,POINT (-122.44929 37.72286)
7925,POINT (-122.468763 37.705879)
4798,POINT (-122.42627 37.71108)
6970,POINT (-122.39525 37.72973)
6089,POINT (-122.446965 37.787676)
6299,POINT (-122.406306 37.793411)
5647,POINT (-122.4104 37.782102)
4643,POINT (-122.435489 37.797391)
5477,POINT (-122.438504 37.711083)
6582,POINT (-122.4115 37.71059)
4097,POINT (-122.44971 37.76477)
3649,POINT (-122.458955 37.781429)
4536,POINT (-122.438039 37.759034)
7851,POINT (-122.494056 37.72942)
6899,POINT (-122.470519 37.736485)
4428,POINT (-122.4383 37.77786)
7721,POINT (-122.476524 37.772834)
3687,POINT (-122.40648 37.72691)
3792,POINT (-122.40102 37.7129)
5907,POINT (-122.429467 37.720112)
3023,POINT (-122.482263 37.790249)
6912,POINT (-122.461083 37.754474)
6806,POINT (-122.424996 37.804287)
5210,POINT (-122.493199 37.760955)
8152,POINT (-122.458967 37.803565)
4033,POINT (-122.455858 37.753074)
5359,POINT (-122.412729 37.800902)
4844,POINT (-122.50984 37.77169)
3291,POINT (-122.419611 37.765152)
